latitude,longitude
27.730130000000003,80.86586
26.14063,85.98157
27.723640000000003,80.89212
28.39553,79.35315
27.88179,77.69203
25.69634,85.24164999999999
27.68704,80.87841
27.73253,80.85386
24.92156,85.39126
27.57358,80.70848000000001
25.69619,85.24021
26.41774,79.56069000000001
26.39389,84.59708
27.75407,80.22079
25.69837,85.24471
26.04307,86.67522000000001
26.18185,82.16295
27.61139,80.66071000000001
27.75237,80.84416
27.70075,80.88686
26.20224,82.14872
27.61906,80.65474
27.74987,80.84552
26.1912,82.15098
26.40488,79.56392
27.73013,80.87306
26.19145,82.15093
25.24151,81.96761
26.37243,84.59856
27.70384,80.88561
27.84543,78.28672
27.75467,80.86232
24.93116,85.40086
23.19631,87.85868
26.41294,79.58229
25.23797,86.87718999999998
24.86817,84.08927
27.90696,77.69358
27.67915,80.88206
25.01242,88.10631000000001
26.79171,85.07708999999998
28.088490000000004,80.12447
27.83343,78.27472
27.59465,80.61463
27.68627,80.87728
25.70976,85.24461
28.40963,79.36294000000001
23.25898,87.83136
27.74382,80.24776
27.72466,80.87162000000001
27.72946,80.87162000000001
27.74207,80.24479
24.85652,85.00917000000001
26.412940000000003,79.55109
27.68055,80.88589999999999
26.18185,82.16534999999999
27.73167,80.86972999999999
27.61703,80.65394
27.69165,80.87438999999999
27.61906,80.66434
25.69299,85.25771
25.24102,81.94994
26.17618,84.03613
25.99622,86.77618
24.88182,85.03044000000001
27.73084,80.86812
27.59599,80.09053999999999
27.85503,78.24112
25.234310000000004,81.93401
27.72687,80.85772999999999
26.26162,85.38131999999999
25.66739,84.17901
28.39523,79.34613999999999
25.66878,84.17830000000001
27.6811,80.88619
27.728440000000003,80.86812
27.49245,80.55958
28.39523,79.36054
27.46128,80.53629000000001
28.09262,80.13244
26.16552,79.78971
26.42168,79.57592
25.53039,85.28973
27.72357,80.89216
25.25111,81.96041
27.90099,77.67763
25.24342,81.96194
26.20105,82.14853
27.68464,80.87841
24.90932,85.38852
27.74987,80.86472
26.18691,82.11347
27.60193,80.60362
27.73189,80.86215
25.69649,85.24342
27.81423,78.24352
26.23329,80.8583
25.71089,85.24582
25.67954,85.26565
25.22902,81.96194
27.69165,80.87199
27.82863,78.23872
25.70471,85.15622
27.7116,80.86372
25.29038,85.21149
23.21033,87.83012000000001
25.68819,85.26251
25.25591,81.95800999999999
25.24037,86.88199
25.25237,86.88439
25.66922,85.31002000000001
23.22233,87.81572
25.66638,84.1327
28.09996,80.12998
28.40483,79.36054
25.28443,85.23334000000001
28.40243,79.36054
27.52125,80.56438
26.05568,85.06037
23.227129999999995,87.84212000000001
27.73007,80.86373999999999
26.41534,79.55349
27.73487,80.85414
27.68775,80.8787
27.73407,80.86252999999999
27.87699,77.68723
